constructorId,color
ferrari,#DC0000
mercedes,#00D2BE
red_bull,#0600EF
mclaren,#FF8700
aston_martin,#006F62
alpine,#0090FF
williams,#005AFF
haas,#B6BABD
rb,#6692FF
sauber,#52E252
alphatauri,#2B4562
alfa,#900000
renault,#FFF500
racing_point,#F596C8
toro_rosso,#469BFF
force_india,#F596C8
lotus_f1,#FFB800
lotus_racing,#B3B3B3
caterham,#005030
marussia,#C60000
manor,#FFFFFF
virgin,#C00000
jordan,#C4FF00
minardi,#000000
super_aguri,#FFFFFF
spyker,#FF6600
toyota,#FF0000
bmw_sauber,#FFFFFF
bar,#C0C0C0
jaguar,#008000
prost,#0000FF
arrows,#FFFFFF
benetton,#009B4D
tyrrell,#0000A0
ligier,#0000FF
footwork,#FF0000
simtek,#800080
forti,#FFFF00
pacific,#FF0000
larousse,#FF0000
lola,#000000
leyton,#FFFFFF
march,#0000FF
osella,#FFFFFF
coloni,#000000
life,#000000
fondmetal,#FF0000
moda,#FFFFFF
ags,#0000FF
onyx,#000000
rial,#FFFFFF
zakspeed,#FF0000
ram,#0000FF
spirit,#FFFFFF
toleman,#0000FF
shadow,#000000
wolf,#FFFFFF
hesketh,#000000
surtees,#FF0000
brabham,#008000
march_engineering,#0000FF
matra,#0000FF
tecno,#FF0000
iso_marlboro,#FF0000
politoys,#000000
bellasi,#FFFFFF
de_tomaso,#000000
cooper,#FF0000
lotus_63,#008000
eagle,#000000
williams_f1,#005AFF
ferrari_f1,#DC0000
